斥,备焙,谰搁悼,夸老,岿,林吝/林富,乞闭 蜡悼牢备
2019,何魂柳备,何傈力1悼,拳,1,林吝,"64,193"
2019,何魂柳备,何傈力1悼,荐,1,林吝,"67,914"
2019,何魂柳备,何傈力1悼,格,1,林吝,"66,183"
2019,何魂柳备,何傈力1悼,陛,1,林吝,"68,497"
2019,何魂柳备,何傈力1悼,配,1,林富,"71,881"
2019,何魂柳备,何傈力2悼,老,1,林富,"90,743"
2019,何魂柳备,何傈力2悼,岿,1,林吝,"90,831"
2019,何魂柳备,何傈力2悼,拳,1,林吝,"91,076"
2019,何魂柳备,何傈力2悼,荐,1,林吝,"94,284"
2019,何魂柳备,何傈力2悼,格,1,林吝,"91,765"
2019,何魂柳备,何傈力2悼,陛,1,林吝,"96,954"
2019,何魂柳备,何傈力2悼,配,1,林富,"108,484"
2019,秦款措备,快力1悼,老,1,林富,"71,480"
2019,秦款措备,快力1悼,岿,1,林吝,"60,742"
2019,秦款措备,快力1悼,拳,1,林吝,"67,879"
2019,秦款措备,快力1悼,荐,1,林吝,"63,408"
2019,秦款措备,快力1悼,格,1,林吝,"61,956"
2019,秦款措备,快力1悼,陛,1,林吝,"63,657"
2019,秦款措备,快力1悼,配,1,林富,"71,825"
2019,秦款措备,快力2悼,老,1,林富,"97,039"
2019,秦款措备,快力2悼,岿,1,林吝,"76,475"
2019,秦款措备,快力2悼,拳,1,林吝,"83,676"
2019,秦款措备,快力2悼,荐,1,林吝,"80,144"
2019,秦款措备,快力2悼,格,1,林吝,"79,040"
2019,秦款措备,快力2悼,陛,1,林吝,"82,362"
2019,秦款措备,快力2悼,配,1,林富,"91,604"
2019,荤惑备,饱过悼,老,1,林富,"58,518"
2019,荤惑备,饱过悼,岿,1,林吝,"54,849"
2019,荤惑备,饱过悼,拳,1,林吝,"57,367"
2019,荤惑备,饱过悼,荐,1,林吝,"57,777"
2019,荤惑备,饱过悼,格,1,林吝,"55,664"
2019,荤惑备,饱过悼,陛,1,林吝,"57,483"
2019,荤惑备,饱过悼,配,1,林富,"60,993"
2018,吝备,巢器悼,老,1,林富,"36,215"
2018,吝备,巢器悼,老,2,林富,"33,729"
2018,吝备,巢器悼,老,3,林富,"32,688"
2018,吝备,巢器悼,老,4,林富,"30,447"
2018,吝备,巢器悼,老,5,林富,"32,158"
2018,吝备,巢器悼,老,6,林富,"29,108"
2018,吝备,巢器悼,老,7,林富,"28,836"
2018,吝备,巢器悼,老,8,林富,"34,066"
2018,吝备,巢器悼,老,9,林富,"37,470"
2018,吝备,巢器悼,老,10,林富,"41,581"
2018,吝备,巢器悼,老,11,林富,"40,372"
2018,吝备,巢器悼,老,12,林富,"40,287"
2018,吝备,巢器悼,岿,1,林吝,"27,085"
2018,吝备,巢器悼,岿,2,林吝,"26,377"
2018,吝备,巢器悼,岿,3,林吝,"24,884"
2018,吝备,巢器悼,岿,4,林吝,"23,770"
2018,吝备,巢器悼,岿,5,林吝,"25,766"
2018,吝备,巢器悼,岿,6,林吝,"22,458"
2018,吝备,巢器悼,岿,7,林吝,"22,851"
2018,吝备,巢器悼,岿,8,林吝,"26,771"
2018,吝备,巢器悼,岿,9,林吝,"27,161"
2018,吝备,巢器悼,岿,10,林吝,"27,961"
2018,吝备,巢器悼,岿,11,林吝,"27,440"
2018,吝备,巢器悼,岿,12,林吝,"30,533"
2018,吝备,巢器悼,拳,1,林吝,"26,465"
2018,吝备,巢器悼,拳,2,林吝,"26,468"
2018,吝备,巢器悼,拳,3,林吝,"25,569"
2018,吝备,巢器悼,拳,4,林吝,"23,308"
2018,吝备,巢器悼,拳,5,林吝,"24,831"
2018,吝备,巢器悼,拳,6,林吝,"22,436"
2018,吝备,巢器悼,拳,7,林吝,"21,887"
2018,吝备,巢器悼,拳,8,林吝,"26,861"
2018,吝备,巢器悼,拳,9,林吝,"31,498"
2018,吝备,巢器悼,拳,10,林吝,"28,429"
2018,吝备,巢器悼,拳,11,林吝,"26,584"
2018,吝备,巢器悼,拳,12,林吝,"32,865"
2018,吝备,巢器悼,荐,1,林吝,"26,227"
2018,吝备,巢器悼,荐,2,林吝,"25,929"
2018,吝备,巢器悼,荐,3,林吝,"25,252"
2018,吝备,巢器悼,荐,4,林吝,"23,912"
2018,吝备,巢器悼,荐,5,林吝,"23,156"
2018,吝备,巢器悼,荐,6,林吝,"24,468"
2018,吝备,巢器悼,荐,7,林吝,"22,293"
2018,吝备,巢器悼,荐,8,林吝,"28,233"
2018,吝备,巢器悼,荐,9,林吝,"29,448"
2018,吝备,巢器悼,荐,10,林吝,"28,848"
2018,吝备,巢器悼,荐,11,林吝,"27,416"
2018,吝备,巢器悼,荐,12,林吝,"27,541"
2018,吝备,巢器悼,格,1,林吝,"27,158"
2018,吝备,巢器悼,格,2,林吝,"27,026"
2018,吝备,巢器悼,格,3,林吝,"25,924"
2018,吝备,巢器悼,格,4,林吝,"24,087"
2018,吝备,巢器悼,格,5,林吝,"23,748"
2018,吝备,巢器悼,格,6,林吝,"22,077"
2018,吝备,巢器悼,格,7,林吝,"22,396"
2018,吝备,巢器悼,格,8,林吝,"26,834"
2018,吝备,巢器悼,格,9,林吝,"26,465"
2018,吝备,巢器悼,格,10,林吝,"28,177"
2018,吝备,巢器悼,格,11,林吝,"26,714"
2018,吝备,巢器悼,格,12,林吝,"26,633"
2018,吝备,巢器悼,陛,1,林吝,"27,843"
2018,吝备,巢器悼,陛,2,林吝,"26,215"
2018,吝备,巢器悼,陛,3,林吝,"26,632"
2018,吝备,巢器悼,陛,4,林吝,"25,032"
2018,吝备,巢器悼,陛,5,林吝,"24,814"
2018,吝备,巢器悼,陛,6,林吝,"23,501"
2018,吝备,巢器悼,陛,7,林吝,"23,257"
2018,吝备,巢器悼,陛,8,林吝,"29,136"
2018,吝备,巢器悼,陛,9,林吝,"26,824"
2018,吝备,巢器悼,陛,10,林吝,"29,208"
2018,吝备,巢器悼,陛,11,林吝,"29,946"
2018,吝备,巢器悼,陛,12,林吝,"28,830"
2018,吝备,巢器悼,配,1,林富,"37,105"
2018,吝备,巢器悼,配,2,林富,"35,665"
2018,吝备,巢器悼,配,3,林富,"34,360"
2018,吝备,巢器悼,配,4,林富,"31,925"
2018,吝备,巢器悼,配,5,林富,"33,750"
2018,吝备,巢器悼,配,6,林富,"29,930"
2018,吝备,巢器悼,配,7,林富,"29,874"
2018,吝备,巢器悼,配,8,林富,"36,257"
2018,吝备,巢器悼,配,9,林富,"36,706"
2018,吝备,巢器悼,配,10,林富,"40,241"
2018,吝备,巢器悼,配,11,林富,"42,296"
2018,吝备,巢器悼,配,12,林富,"41,345"
2018,何魂柳备,何傈力1悼,老,1,林富,"63,965"
2018,何魂柳备,何傈力1悼,老,2,林富,"64,316"
2018,何魂柳备,何傈力1悼,老,3,林富,"62,453"
2018,何魂柳备,何傈力1悼,老,4,林富,"57,976"
2018,何魂柳备,何傈力1悼,老,5,林富,"59,543"
2018,何魂柳备,何傈力1悼,老,6,林富,"58,210"
2018,何魂柳备,何傈力1悼,老,7,林富,"57,656"
2018,何魂柳备,何傈力1悼,老,8,林富,"58,873"
2018,何魂柳备,何傈力1悼,老,9,林富,"56,102"
2018,何魂柳备,何傈力1悼,老,10,林富,"57,191"
2018,何魂柳备,何傈力1悼,老,11,林富,"58,775"
2018,何魂柳备,何傈力1悼,老,12,林富,"58,709"
2018,何魂柳备,何傈力1悼,岿,1,林吝,"62,418"
2018,何魂柳备,何傈力1悼,岿,2,林吝,"67,635"
2018,何魂柳备,何傈力1悼,岿,3,林吝,"67,502"
2018,何魂柳备,何傈力1悼,岿,4,林吝,"64,451"
2018,何魂柳备,何傈力1悼,岿,5,林吝,"64,055"
2018,何魂柳备,何傈力1悼,岿,6,林吝,"64,375"
2018,何魂柳备,何傈力1悼,岿,7,林吝,"63,668"
2018,何魂柳备,何傈力1悼,岿,8,林吝,"64,989"
2018,何魂柳备,何傈力1悼,岿,9,林吝,"55,706"
2018,何魂柳备,何傈力1悼,岿,10,林吝,"62,754"
2018,何魂柳备,何傈力1悼,岿,11,林吝,"61,775"
2018,何魂柳备,何傈力1悼,岿,12,林吝,"60,772"
2018,何魂柳备,何傈力1悼,拳,1,林吝,"65,198"
2018,何魂柳备,何傈力1悼,拳,2,林吝,"67,353"
2018,何魂柳备,何傈力1悼,拳,3,林吝,"68,533"
2018,何魂柳备,何傈力1悼,拳,4,林吝,"64,694"
2018,何魂柳备,何傈力1悼,拳,5,林吝,"63,246"
2018,何魂柳备,何傈力1悼,拳,6,林吝,"64,807"
2018,何魂柳备,何傈力1悼,拳,7,林吝,"63,540"
2018,何魂柳备,何傈力1悼,拳,8,林吝,"65,739"
2018,何魂柳备,何傈力1悼,拳,9,林吝,"60,041"
2018,何魂柳备,何傈力1悼,拳,10,林吝,"62,419"
2018,何魂柳备,何傈力1悼,拳,11,林吝,"60,923"
2018,何魂柳备,何傈力1悼,拳,12,林吝,"59,098"
2018,何魂柳备,何傈力1悼,荐,1,林吝,"64,951"
2018,何魂柳备,何傈力1悼,荐,2,林吝,"67,112"
2018,何魂柳备,何傈力1悼,荐,3,林吝,"67,287"
2018,何魂柳备,何傈力1悼,荐,4,林吝,"64,537"
2018,何魂柳备,何傈力1悼,荐,5,林吝,"64,132"
2018,何魂柳备,何傈力1悼,荐,6,林吝,"61,808"
2018,何魂柳备,何傈力1悼,荐,7,林吝,"63,117"
2018,何魂柳备,何傈力1悼,荐,8,林吝,"63,521"
2018,何魂柳备,何傈力1悼,荐,9,林吝,"60,993"
2018,何魂柳备,何傈力1悼,荐,10,林吝,"61,357"
2018,何魂柳备,何傈力1悼,荐,11,林吝,"61,262"
2018,何魂柳备,何傈力1悼,荐,12,林吝,"57,480"
2018,何魂柳备,何傈力1悼,格,1,林吝,"64,498"
2018,何魂柳备,何傈力1悼,格,2,林吝,"64,021"
2018,何魂柳备,何傈力1悼,格,3,林吝,"66,850"
2018,何魂柳备,何傈力1悼,格,4,林吝,"65,715"
2018,何魂柳备,何傈力1悼,格,5,林吝,"64,292"
2018,何魂柳备,何傈力1悼,格,6,林吝,"64,391"
2018,何魂柳备,何傈力1悼,格,7,林吝,"63,182"
2018,何魂柳备,何傈力1悼,格,8,林吝,"65,293"
2018,何魂柳备,何傈力1悼,格,9,林吝,"62,268"
2018,何魂柳备,何傈力1悼,格,10,林吝,"62,536"
2018,何魂柳备,何傈力1悼,格,11,林吝,"61,393"
2018,何魂柳备,何傈力1悼,格,12,林吝,"58,245"
2018,何魂柳备,何傈力1悼,陛,1,林吝,"67,781"
2018,何魂柳备,何傈力1悼,陛,2,林吝,"62,139"
2018,何魂柳备,何傈力1悼,陛,3,林吝,"69,023"
2018,何魂柳备,何傈力1悼,陛,4,林吝,"66,808"
2018,何魂柳备,何傈力1悼,陛,5,林吝,"66,585"
2018,何魂柳备,何傈力1悼,陛,6,林吝,"66,475"
2018,何魂柳备,何傈力1悼,陛,7,林吝,"64,385"
2018,何魂柳备,何傈力1悼,陛,8,林吝,"67,365"
2018,何魂柳备,何傈力1悼,陛,9,林吝,"63,818"
2018,何魂柳备,何傈力1悼,陛,10,林吝,"63,682"
2018,何魂柳备,何傈力1悼,陛,11,林吝,"64,745"
2018,何魂柳备,何傈力1悼,陛,12,林吝,"62,385"
2018,何魂柳备,何傈力1悼,配,1,林富,"70,600"
2018,何魂柳备,何傈力1悼,配,2,林富,"69,132"
2018,何魂柳备,何傈力1悼,配,3,林富,"70,269"
2018,何魂柳备,何傈力1悼,配,4,林富,"67,684"
2018,何魂柳备,何傈力1悼,配,5,林富,"67,296"
2018,何魂柳备,何傈力1悼,配,6,林富,"66,453"
2018,何魂柳备,何傈力1悼,配,7,林富,"65,262"
2018,何魂柳备,何傈力1悼,配,8,林富,"66,356"
2018,何魂柳备,何傈力1悼,配,9,林富,"65,996"
2018,何魂柳备,何傈力1悼,配,10,林富,"64,939"
2018,何魂柳备,何傈力1悼,配,11,林富,"67,756"
2018,何魂柳备,何傈力1悼,配,12,林富,"65,773"
2018,何魂柳备,何傈力2悼,老,1,林富,"116,249"
2018,何魂柳备,何傈力2悼,老,2,林富,"124,166"
2018,何魂柳备,何傈力2悼,老,3,林富,"118,310"
2018,何魂柳备,何傈力2悼,老,4,林富,"102,480"
2018,何魂柳备,何傈力2悼,老,5,林富,"107,257"
2018,何魂柳备,何傈力2悼,老,6,林富,"99,621"
2018,何魂柳备,何傈力2悼,老,7,林富,"104,836"
2018,何魂柳备,何傈力2悼,老,8,林富,"111,165"
2018,何魂柳备,何傈力2悼,老,9,林富,"107,506"
2018,何魂柳备,何傈力2悼,老,10,林富,"103,621"
2018,何魂柳备,何傈力2悼,老,11,林富,"108,215"
2018,何魂柳备,何傈力2悼,老,12,林富,"104,269"
2018,何魂柳备,何傈力2悼,岿,1,林吝,"109,659"
2018,何魂柳备,何傈力2悼,岿,2,林吝,"120,407"
2018,何魂柳备,何傈力2悼,岿,3,林吝,"112,634"
2018,何魂柳备,何傈力2悼,岿,4,林吝,"112,562"
2018,何魂柳备,何傈力2悼,岿,5,林吝,"106,346"
2018,何魂柳备,何傈力2悼,岿,6,林吝,"98,539"
2018,何魂柳备,何傈力2悼,岿,7,林吝,"103,655"
2018,何魂柳备,何傈力2悼,岿,8,林吝,"108,337"
2018,何魂柳备,何傈力2悼,岿,9,林吝,"91,212"
2018,何魂柳备,何傈力2悼,岿,10,林吝,"97,999"
2018,何魂柳备,何傈力2悼,岿,11,林吝,"93,276"
2018,何魂柳备,何傈力2悼,岿,12,林吝,"93,733"
2018,何魂柳备,何傈力2悼,拳,1,林吝,"112,073"
2018,何魂柳备,何傈力2悼,拳,2,林吝,"118,909"
2018,何魂柳备,何傈力2悼,拳,3,林吝,"113,490"
2018,何魂柳备,何傈力2悼,拳,4,林吝,"101,815"
2018,何魂柳备,何傈力2悼,拳,5,林吝,"102,710"
2018,何魂柳备,何傈力2悼,拳,6,林吝,"100,049"
2018,何魂柳备,何傈力2悼,拳,7,林吝,"102,379"
2018,何魂柳备,何傈力2悼,拳,8,林吝,"110,589"
2018,何魂柳备,何傈力2悼,拳,9,林吝,"102,981"
2018,何魂柳备,何傈力2悼,拳,10,林吝,"98,851"
2018,何魂柳备,何傈力2悼,拳,11,林吝,"92,393"
2018,何魂柳备,何傈力2悼,拳,12,林吝,"93,372"
2018,何魂柳备,何傈力2悼,荐,1,林吝,"111,860"
2018,何魂柳备,何傈力2悼,荐,2,林吝,"119,735"
2018,何魂柳备,何傈力2悼,荐,3,林吝,"111,829"
2018,何魂柳备,何傈力2悼,荐,4,林吝,"102,638"
2018,何魂柳备,何傈力2悼,荐,5,林吝,"101,470"
2018,何魂柳备,何傈力2悼,荐,6,林吝,"99,966"
2018,何魂柳备,何傈力2悼,荐,7,林吝,"104,036"
2018,何魂柳备,何傈力2悼,荐,8,林吝,"109,568"
2018,何魂柳备,何傈力2悼,荐,9,林吝,"104,029"
2018,何魂柳备,何傈力2悼,荐,10,林吝,"97,575"
2018,何魂柳备,何傈力2悼,荐,11,林吝,"94,414"
2018,何魂柳备,何傈力2悼,荐,12,林吝,"89,558"
2018,何魂柳备,何傈力2悼,格,1,林吝,"113,141"
2018,何魂柳备,何傈力2悼,格,2,林吝,"113,914"
2018,何魂柳备,何傈力2悼,格,3,林吝,"114,656"
2018,何魂柳备,何傈力2悼,格,4,林吝,"106,030"
2018,何魂柳备,何傈力2悼,格,5,林吝,"102,928"
2018,何魂柳备,何傈力2悼,格,6,林吝,"99,715"
2018,何魂柳备,何傈力2悼,格,7,林吝,"104,530"
2018,何魂柳备,何傈力2悼,格,8,林吝,"109,427"
2018,何魂柳备,何傈力2悼,格,9,林吝,"101,287"
2018,何魂柳备,何傈力2悼,格,10,林吝,"97,172"
2018,何魂柳备,何傈力2悼,格,11,林吝,"95,375"
2018,何魂柳备,何傈力2悼,格,12,林吝,"90,200"
2018,何魂柳备,何傈力2悼,陛,1,林吝,"119,728"
2018,何魂柳备,何傈力2悼,陛,2,林吝,"111,474"
2018,何魂柳备,何傈力2悼,陛,3,林吝,"119,583"
2018,何魂柳备,何傈力2悼,陛,4,林吝,"112,437"
2018,何魂柳备,何傈力2悼,陛,5,林吝,"111,388"
2018,何魂柳备,何傈力2悼,陛,6,林吝,"106,348"
2018,何魂柳备,何傈力2悼,陛,7,林吝,"109,429"
2018,何魂柳备,何傈力2悼,陛,8,林吝,"117,225"
2018,何魂柳备,何傈力2悼,陛,9,林吝,"109,693"
2018,何魂柳备,何傈力2悼,陛,10,林吝,"104,459"
2018,何魂柳备,何傈力2悼,陛,11,林吝,"105,961"
2018,何魂柳备,何傈力2悼,陛,12,林吝,"100,790"
2018,何魂柳备,何傈力2悼,配,1,林富,"133,200"
2018,何魂柳备,何傈力2悼,配,2,林富,"134,647"
2018,何魂柳备,何傈力2悼,配,3,林富,"133,529"
2018,何魂柳备,何傈力2悼,配,4,林富,"121,837"
2018,何魂柳备,何傈力2悼,配,5,林富,"120,532"
2018,何魂柳备,何傈力2悼,配,6,林富,"114,524"
2018,何魂柳备,何傈力2悼,配,7,林富,"119,439"
2018,何魂柳备,何傈力2悼,配,8,林富,"125,886"
2018,何魂柳备,何傈力2悼,配,9,林富,"125,993"
2018,何魂柳备,何傈力2悼,配,10,林富,"119,850"
2018,何魂柳备,何傈力2悼,配,11,林富,"126,690"
2018,何魂柳备,何傈力2悼,配,12,林富,"117,796"
2018,秦款措备,快力1悼,老,1,林富,"59,641"
2018,秦款措备,快力1悼,老,2,林富,"62,469"
2018,秦款措备,快力1悼,老,3,林富,"63,275"
2018,秦款措备,快力1悼,老,4,林富,"66,646"
2018,秦款措备,快力1悼,老,5,林富,"77,054"
2018,秦款措备,快力1悼,老,6,林富,"71,222"
2018,秦款措备,快力1悼,老,7,林富,"73,847"
2018,秦款措备,快力1悼,老,8,林富,"75,093"
2018,秦款措备,快力1悼,老,9,林富,"64,829"
2018,秦款措备,快力1悼,老,10,林富,"64,793"
2018,秦款措备,快力1悼,老,11,林富,"64,178"
2018,秦款措备,快力1悼,老,12,林富,"73,214"
2018,秦款措备,快力1悼,岿,1,林吝,"52,498"
2018,秦款措备,快力1悼,岿,2,林吝,"54,408"
2018,秦款措备,快力1悼,岿,3,林吝,"51,680"
2018,秦款措备,快力1悼,岿,4,林吝,"55,805"
2018,秦款措备,快力1悼,岿,5,林吝,"63,541"
2018,秦款措备,快力1悼,岿,6,林吝,"59,471"
2018,秦款措备,快力1悼,岿,7,林吝,"63,372"
2018,秦款措备,快力1悼,岿,8,林吝,"63,241"
2018,秦款措备,快力1悼,岿,9,林吝,"54,490"
2018,秦款措备,快力1悼,岿,10,林吝,"55,189"
2018,秦款措备,快力1悼,岿,11,林吝,"53,795"
2018,秦款措备,快力1悼,岿,12,林吝,"61,185"
2018,秦款措备,快力1悼,拳,1,林吝,"50,054"
2018,秦款措备,快力1悼,拳,2,林吝,"54,219"
2018,秦款措备,快力1悼,拳,3,林吝,"51,407"
2018,秦款措备,快力1悼,拳,4,林吝,"54,817"
2018,秦款措备,快力1悼,拳,5,林吝,"61,299"
2018,秦款措备,快力1悼,拳,6,林吝,"59,288"
2018,秦款措备,快力1悼,拳,7,林吝,"63,081"
2018,秦款措备,快力1悼,拳,8,林吝,"63,285"
2018,秦款措备,快力1悼,拳,9,林吝,"56,766"
2018,秦款措备,快力1悼,拳,10,林吝,"55,180"
2018,秦款措备,快力1悼,拳,11,林吝,"53,245"
2018,秦款措备,快力1悼,拳,12,林吝,"60,892"
2018,秦款措备,快力1悼,荐,1,林吝,"49,327"
2018,秦款措备,快力1悼,荐,2,林吝,"52,827"
2018,秦款措备,快力1悼,荐,3,林吝,"51,867"
2018,秦款措备,快力1悼,荐,4,林吝,"55,093"
2018,秦款措备,快力1悼,荐,5,林吝,"57,484"
2018,秦款措备,快力1悼,荐,6,林吝,"62,536"
2018,秦款措备,快力1悼,荐,7,林吝,"60,903"
2018,秦款措备,快力1悼,荐,8,林吝,"65,048"
2018,秦款措备,快力1悼,荐,9,林吝,"55,788"
2018,秦款措备,快力1悼,荐,10,林吝,"56,464"
2018,秦款措备,快力1悼,荐,11,林吝,"53,025"
2018,秦款措备,快力1悼,荐,12,林吝,"58,709"
2018,秦款措备,快力1悼,格,1,林吝,"50,609"
2018,秦款措备,快力1悼,格,2,林吝,"54,215"
2018,秦款措备,快力1悼,格,3,林吝,"54,669"
2018,秦款措备,快力1悼,格,4,林吝,"56,482"
2018,秦款措备,快力1悼,格,5,林吝,"58,368"
2018,秦款措备,快力1悼,格,6,林吝,"60,691"
2018,秦款措备,快力1悼,格,7,林吝,"61,979"
2018,秦款措备,快力1悼,格,8,林吝,"65,314"
2018,秦款措备,快力1悼,格,9,林吝,"53,893"
2018,秦款措备,快力1悼,格,10,林吝,"56,880"
2018,秦款措备,快力1悼,格,11,林吝,"55,055"
2018,秦款措备,快力1悼,格,12,林吝,"57,892"
2018,秦款措备,快力1悼,陛,1,林吝,"53,193"
2018,秦款措备,快力1悼,陛,2,林吝,"55,431"
2018,秦款措备,快力1悼,陛,3,林吝,"55,553"
2018,秦款措备,快力1悼,陛,4,林吝,"58,580"
2018,秦款措备,快力1悼,陛,5,林吝,"59,375"
2018,秦款措备,快力1悼,陛,6,林吝,"62,502"
2018,秦款措备,快力1悼,陛,7,林吝,"63,110"
2018,秦款措备,快力1悼,陛,8,林吝,"64,405"
2018,秦款措备,快力1悼,陛,9,林吝,"55,864"
2018,秦款措备,快力1悼,陛,10,林吝,"57,612"
2018,秦款措备,快力1悼,陛,11,林吝,"57,170"
2018,秦款措备,快力1悼,陛,12,林吝,"60,953"
2018,秦款措备,快力1悼,配,1,林富,"58,648"
2018,秦款措备,快力1悼,配,2,林富,"61,494"
2018,秦款措备,快力1悼,配,3,林富,"64,271"
2018,秦款措备,快力1悼,配,4,林富,"70,675"
2018,秦款措备,快力1悼,配,5,林富,"74,400"
2018,秦款措备,快力1悼,配,6,林富,"72,325"
2018,秦款措备,快力1悼,配,7,林富,"73,056"
2018,秦款措备,快力1悼,配,8,林富,"73,601"
2018,秦款措备,快力1悼,配,9,林富,"65,762"
2018,秦款措备,快力1悼,配,10,林富,"67,732"
2018,秦款措备,快力1悼,配,11,林富,"66,864"
2018,秦款措备,快力1悼,配,12,林富,"70,598"
2018,秦款措备,快力2悼,老,1,林富,"88,404"
2018,秦款措备,快力2悼,老,2,林富,"90,307"
2018,秦款措备,快力2悼,老,3,林富,"92,087"
2018,秦款措备,快力2悼,老,4,林富,"85,877"
2018,秦款措备,快力2悼,老,5,林富,"95,264"
2018,秦款措备,快力2悼,老,6,林富,"103,267"
2018,秦款措备,快力2悼,老,7,林富,"101,762"
2018,秦款措备,快力2悼,老,8,林富,"110,817"
2018,秦款措备,快力2悼,老,9,林富,"104,026"
2018,秦款措备,快力2悼,老,10,林富,"103,133"
2018,秦款措备,快力2悼,老,11,林富,"94,092"
2018,秦款措备,快力2悼,老,12,林富,"106,271"
2018,秦款措备,快力2悼,岿,1,林吝,"73,884"
2018,秦款措备,快力2悼,岿,2,林吝,"72,315"
2018,秦款措备,快力2悼,岿,3,林吝,"71,631"
2018,秦款措备,快力2悼,岿,4,林吝,"68,804"
2018,秦款措备,快力2悼,岿,5,林吝,"75,990"
2018,秦款措备,快力2悼,岿,6,林吝,"78,535"
2018,秦款措备,快力2悼,岿,7,林吝,"82,690"
2018,秦款措备,快力2悼,岿,8,林吝,"88,230"
2018,秦款措备,快力2悼,岿,9,林吝,"82,291"
2018,秦款措备,快力2悼,岿,10,林吝,"81,937"
2018,秦款措备,快力2悼,岿,11,林吝,"70,572"
2018,秦款措备,快力2悼,岿,12,林吝,"81,761"
2018,秦款措备,快力2悼,拳,1,林吝,"72,099"
2018,秦款措备,快力2悼,拳,2,林吝,"72,201"
2018,秦款措备,快力2悼,拳,3,林吝,"71,530"
2018,秦款措备,快力2悼,拳,4,林吝,"68,099"
2018,秦款措备,快力2悼,拳,5,林吝,"74,326"
2018,秦款措备,快力2悼,拳,6,林吝,"78,768"
2018,秦款措备,快力2悼,拳,7,林吝,"82,862"
2018,秦款措备,快力2悼,拳,8,林吝,"88,861"
2018,秦款措备,快力2悼,拳,9,林吝,"85,979"
2018,秦款措备,快力2悼,拳,10,林吝,"81,726"
2018,秦款措备,快力2悼,拳,11,林吝,"69,740"
2018,秦款措备,快力2悼,拳,12,林吝,"83,238"
2018,秦款措备,快力2悼,荐,1,林吝,"70,685"
2018,秦款措备,快力2悼,荐,2,林吝,"71,767"
2018,秦款措备,快力2悼,荐,3,林吝,"72,302"
2018,秦款措备,快力2悼,荐,4,林吝,"68,937"
2018,秦款措备,快力2悼,荐,5,林吝,"72,766"
